toxic,FormalCharge,TPSA,MolWt,HeavyAtoms,NHOH,HAcceptors,HDonors,Heteroatoms,AromaticRings,SaturatedRings,AromaticOH,AromaticN,LogP,kfold
0,1,46.53,332.464,24,1,3,1,4,1,2,1,0,2.8541,0
0,1,60.14,255.363,17,2,2,3,5,0,0,0,0,0.0079,0
0,-2,168.58,408.417,27,3,10,2,12,1,1,0,1,-2.7176,0
0,0,46.17,183.251,13,1,2,1,3,0,1,0,0,1.1278,0
0,0,772.17,1448.686,78,16,51,16,67,0,2,0,0,-19.3965,0
0,1,7.68,299.463,21,1,2,1,3,2,0,0,0,3.0699,0
0,0,67.77,157.213,11,3,2,1,3,0,1,0,0,-1.2154,0
0,-1,40.13,135.142,10,0,2,0,2,1,0,0,0,-0.021,0
0,1,118.48,473.561,35,3,9,1,10,4,1,0,6,0.43062,0
0,-2,147.02,470.43,32,2,8,2,10,0,3,2,0,0.7487,0
0,0,53.8,337.419,25,1,3,1,4,2,0,0,0,0.8377,0
0,3,27.69,510.828,36,0,3,0,6,1,0,0,0,5.4525,0
0,1,78.66,408.326,28,3,4,1,12,2,0,0,3,1.2997,0
0,1,90.05,557.777,39,2,5,2,8,3,0,0,0,5.6319,0
0,-1,49.36,325.428,24,0,3,0,3,1,0,0,0,3.83236,0
0,1,88.33,170.188,12,6,3,4,4,1,0,1,0,-0.6269,0
0,1,56.32,112.156,8,4,1,2,3,1,0,0,2,-0.8059,0
0,0,86.19,212.23,14,2,4,1,6,2,0,0,1,0.6163,0
0,0,189.53,342.297,23,8,11,8,11,0,2,8,0,-5.3956,0
0,0,83.83,382.541,27,2,5,2,5,0,1,2,0,3.9536,0
0,1,30.74,248.346,18,1,2,1,3,1,1,0,0,0.796,0
0,0,108.0,392.406,28,4,6,2,9,2,2,0,1,-0.2793,0
1,0,44.81,448.394,30,1,4,1,7,2,1,0,0,4.8593,0
0,2,335.46,1021.277,71,17,12,13,22,4,1,3,1,-2.239,0
0,0,57.34,597.96,19,1,2,1,7,1,0,0,0,0.4849,0
0,1,30.74,310.502,22,1,2,1,3,0,2,0,0,2.9851,0
0,1,17.33,320.254,19,1,1,1,3,2,0,0,1,2.5106,0
0,1,13.67,256.369,19,1,1,1,2,2,0,0,0,1.9371,0
0,0,118.36,389.886,24,4,5,3,10,1,1,0,0,1.2295,0
0,1,4.44,264.801,17,1,1,1,3,2,0,0,0,2.5427,0
0,0,40.46,516.857,35,2,4,2,4,2,0,0,0,9.9083,0
0,-1,77.34,269.346,18,1,3,1,6,1,0,0,0,2.56712,0
0,1,58.56,288.371,21,3,2,3,5,2,1,0,1,0.5058,0
0,-1,141.03,461.531,33,2,8,2,8,0,3,2,0,0.8626,0
0,2,82.3,148.254,10,8,2,4,4,0,0,0,0,-3.66,0
0,-2,98.72,318.325,23,0,6,0,6,1,0,0,0,0.76652,0
0,1,58.46,319.347,22,3,3,1,7,1,0,0,0,2.4847,0
0,-2,191.31,462.842,32,5,8,4,11,1,0,2,0,-4.1796,0
0,3,339.49,584.604,40,19,12,14,19,0,3,7,0,-12.4073,0
0,1,27.64,78.16,4,3,1,2,2,0,0,0,0,-0.8419,0
0,1,57.61,336.481,23,2,2,2,6,2,1,0,1,0.7805,0
0,0,100.9,496.575,36,2,6,2,7,1,3,2,0,3.7604,0
0,1,75.53,406.449,29,4,4,3,7,2,0,2,0,1.3374,0
0,1,7.68,285.436,20,1,2,1,3,2,0,0,0,2.8239,0
0,1,33.98,363.481,27,1,2,1,4,2,3,0,0,2.4478,0
0,1,64.53,326.457,23,3,4,2,5,1,0,1,0,1.3397,0
1,0,186.07,365.214,24,6,10,5,14,2,1,2,4,-1.7239,0
0,-1,49.36,411.521,31,0,3,0,3,3,4,0,0,5.3467,0
0,-1,80.59,391.572,28,2,4,2,4,0,4,2,0,3.1432,0
1,0,158.47,719.924,52,4,8,4,12,2,2,0,0,2.5835,0
0,0,620.32,1755.658,121,24,28,20,41,5,2,6,0,-2.9851,0
0,-1,143.75,480.538,33,2,8,2,11,2,0,2,2,1.067,0
0,2,136.27,780.963,57,4,9,4,12,3,2,1,1,1.9194,0
0,1,71.01,216.301,15,3,3,1,4,0,0,0,0,0.7011,0
0,0,130.05,253.262,18,5,7,4,8,2,0,2,4,-1.3073,0
0,-2,191.73,363.198,24,4,12,3,14,2,1,2,4,-2.9879,0
0,-1,40.13,299.434,22,0,2,0,2,0,0,0,0,4.2679,0
0,1,539.52,1450.279,101,22,24,18,35,5,2,6,0,-2.9715,0
0,1,12.05,382.531,29,0,2,0,3,4,0,0,2,5.30824,0
0,0,81.78,311.407,21,2,3,2,7,1,1,0,0,1.14092,0
0,-2,175.38,1285.906,44,2,10,2,18,2,0,0,0,3.465,0
0,-2,191.31,442.424,32,5,8,4,10,1,0,2,0,-4.6589,0
1,0,32.34,234.343,17,1,2,1,3,1,0,0,0,2.58374,0
0,0,339.09,1550.188,62,13,15,13,27,2,0,9,0,-1.5869,0
0,0,43.35,228.247,17,0,3,0,3,3,0,0,0,3.46446,0
0,0,20.23,286.459,21,1,1,1,1,0,0,1,0,5.5103,0
0,0,38.33,315.678,21,1,2,1,7,1,1,0,0,4.0731,0
0,1,80.32,407.49,30,4,4,3,6,4,0,1,1,2.7118,0
1,0,63.24,415.117,20,1,4,1,9,2,0,0,0,3.9361,0
0,1,69.56,340.447,25,4,2,4,5,2,0,1,1,0.5076,0
0,1,49.47,282.367,21,3,3,3,4,2,0,0,0,0.92102,0
0,1,4.44,160.24,12,1,0,1,1,1,0,0,0,0.3345,0
0,1,29.24,266.368,20,2,2,2,3,2,0,0,0,0.7755,0
0,0,204.66,958.24,68,3,14,3,15,0,3,3,0,6.1972,0
0,-1,126.75,489.618,34,2,5,2,10,1,1,0,0,3.8581,0
0,-2,191.31,442.424,32,5,8,4,10,1,0,2,0,-4.7921,0
0,0,97.42,366.428,28,2,6,2,6,3,0,0,2,4.9891,0
0,-3,222.0,524.503,37,2,12,2,14,1,0,0,0,-10.1823,0
0,2,0.0,258.494,18,0,0,0,2,0,0,0,0,3.5196,0
0,0,81.93,369.469,27,1,6,1,7,2,1,0,4,3.4647,0
0,2,122.34,282.347,21,9,2,4,5,1,0,0,0,-3.1586,0
0,1,51.36,313.425,23,2,3,2,5,2,2,0,2,0.9013,0
0,1,201.18,791.009,55,5,14,5,15,0,3,4,0,1.3294,0
0,0,77.1,359.451,25,1,5,1,7,3,0,0,3,2.98942,0
0,0,92.5,259.265,19,3,4,2,6,1,1,0,0,0.0298,0
0,0,80.92,302.37,22,4,4,4,4,2,0,0,0,3.5664,0
0,1,7.68,391.966,28,1,1,1,3,3,1,0,0,4.13852,0
0,1,37.22,592.792,41,1,5,1,9,2,1,0,0,6.5826,0
0,0,112.19,333.361,23,2,7,2,10,0,0,0,0,0.3464,0
0,0,99.13,502.579,36,1,7,1,8,0,5,1,0,3.5238,0
0,0,117.18,349.774,24,4,4,2,8,1,1,0,0,-1.3407,0
0,0,26.3,212.248,16,0,2,0,2,2,0,0,0,3.0436,0
0,0,92.55,317.223,22,1,4,1,10,1,1,0,0,2.4484,0
0,0,60.16,273.357,19,2,2,1,4,2,0,0,0,2.01,0
0,2,631.65,1416.584,96,26,30,20,41,4,2,8,6,-8.72978,0
0,1,7.68,281.423,21,1,1,1,2,2,0,0,0,2.4579,0
0,-3,714.96,1617.669,115,22,27,18,43,3,1,1,1,-11.6774,0
0,0,57.53,336.447,24,2,3,2,4,0,3,2,0,3.3322,0
0,0,104.55,242.231,17,3,6,3,7,1,1,2,2,-1.51428,0
0,-2,81.65,987.6674984,33,0,5,0,13,3,0,0,0,7.4338,0
0,-2,138.46,402.475,25,2,8,2,11,2,0,0,0,1.0164,0
0,-1,220.03,584.65,42,7,9,5,13,1,0,1,0,-4.9575,0
0,1,118.98,635.734,46,2,9,2,11,3,2,0,1,3.1536,0
0,3,533.0,1307.572,92,25,14,17,33,2,4,2,0,-12.8327,0
0,1,56.74,193.27,14,4,1,2,3,1,0,0,0,0.87234,0
0,1,27.99,200.306,14,1,1,1,4,0,1,0,0,-0.7215,0
0,1,46.53,352.454,26,1,3,1,4,2,3,1,0,2.7045,0
0,0,17.07,81.389,2,0,1,0,2,0,0,0,0,-0.1213,0
0,0,93.06,452.494,32,2,6,2,8,0,4,2,0,2.3668,0
0,1,89.16,267.349,19,5,3,3,5,1,0,1,0,-0.5741,0
0,0,58.92,146.142,10,2,4,2,4,0,2,2,0,-1.4942,0
0,0,0.0,143.094,3,0,2,0,3,0,0,0,0,0.9156,0
0,-1,183.89,496.492,36,5,9,3,10,2,1,2,0,-0.9605,0
0,1,497.41,1432.072,102,21,15,17,32,5,1,1,1,-2.3258,0
0,1,4.44,188.294,14,1,0,1,1,1,0,0,0,0.7655,0
0,-1,98.33,612.907,20,2,4,2,9,1,0,0,0,1.1819,0
0,1,77.3,240.323,17,5,3,4,4,1,0,2,0,0.2798,0
0,1,30.74,322.837,21,1,3,1,5,2,0,0,0,2.2568,0
0,0,121.38,182.172,12,6,6,6,6,0,0,6,0,-3.5854,0
0,-1,100.06,775.864,24,3,4,1,9,2,0,0,0,1.8738,0
0,1,46.53,277.388,20,2,2,2,4,1,1,0,1,0.54572,0
0,0,43.37,328.452,24,0,3,0,3,0,1,0,0,4.5582,0
0,0,26.3,416.343,22,0,2,0,3,1,0,0,0,6.0786,0
0,0,38.33,259.349,19,1,2,1,3,1,0,0,0,2.5676,0
0,-1,66.2,62.004,4,0,3,0,4,0,0,0,0,-0.2391,0
0,0,99.13,466.958,32,1,7,1,8,0,3,1,0,3.9165,0
0,0,118.36,297.745,17,4,5,3,10,1,0,0,0,-0.3513,0
0,-1,87.14,227.207,17,0,6,0,7,3,0,0,6,-0.18788,0
1,0,68.74,446.91,31,1,7,1,9,3,1,0,2,4.2756,0
0,0,29.46,314.469,23,1,2,1,2,1,0,0,0,5.7358,0
0,0,20.23,242.447,17,1,1,1,1,0,0,1,0,5.46,0
0,0,61.69,286.718,20,2,3,2,5,2,0,1,0,2.4479,0
0,0,69.06,531.44,36,0,7,0,10,3,2,0,2,4.2058,0
0,1,13.67,406.977,29,1,1,1,3,3,0,0,0,4.7979,0
0,0,122.22,321.337,23,2,9,1,9,2,0,0,4,0.541,0
0,1,106.09,422.461,31,3,7,3,8,3,0,1,2,0.4297,0
0,1,86.53,416.582,30,5,4,4,5,2,0,2,0,3.0812,0
0,0,39.41,429.134,26,0,4,0,8,3,0,0,2,6.1178,0
0,1,58.7,354.474,26,3,3,3,5,2,0,1,1,0.518,0
0,-1,120.65,543.687,37,0,7,0,10,2,0,0,0,3.7622,0
0,-1,94.41,323.394,22,1,4,1,7,1,1,0,0,2.9939,0
0,0,46.61,143.142,10,0,3,0,4,0,1,0,0,0.3736,0
0,-1,73.6,356.427,25,0,6,0,7,2,1,0,1,3.275,0
0,1,87.48,494.623,37,3,6,3,8,4,1,0,3,3.17322,0
0,1,7.68,434.047,31,1,1,1,3,3,1,0,0,5.1276,0
0,0,112.05,506.709,35,3,7,3,8,1,2,2,1,4.05052,0
0,1,85.59,427.5,31,2,6,2,8,3,1,1,3,1.66422,0
1,0,92.5,259.265,19,3,4,2,6,1,1,0,0,0.0298,0
0,0,93.81,538.584,37,1,7,1,10,1,3,1,0,4.9268,0
0,0,91.21,401.438,29,2,6,1,8,2,3,0,1,0.0096,0
0,-1,512.97,1269.283,89,16,24,15,33,4,3,8,1,-4.2446,0
0,0,199.89,807.114,33,8,9,8,15,1,0,6,0,-2.016,0
0,0,91.06,191.139,13,1,6,1,7,0,2,1,0,-1.2782,0
0,-2,213.75,454.332,31,4,12,4,14,1,0,3,4,-2.87056,0
0,-1,73.25,585.189,41,1,5,1,6,4,1,1,1,7.6133,0
0,1,4.44,240.37,18,1,0,1,1,2,0,0,0,2.3325,0
0,0,93.06,416.514,30,2,6,2,6,0,4,2,0,2.3267,0
0,0,77.82,248.717,17,4,4,2,5,2,0,0,2,2.5238,0
0,-2,332.2,610.624,40,10,14,6,20,0,0,0,0,-10.6492,0
0,1,52.32,147.198,10,2,2,1,4,0,0,0,0,-0.2121,0
0,1,27.64,136.218,10,3,0,1,1,1,0,0,0,0.8595,0
0,0,27.05,437.779,27,0,4,0,7,4,0,0,2,7.0161,0
0,-1,361.03,1084.148,76,10,24,10,24,2,5,9,0,-0.88128,0
0,1,105.59,208.234,14,6,5,6,6,0,1,5,0,-4.6792,0
0,1,55.3,308.442,22,3,3,2,4,1,1,1,0,1.3672,0
0,0,17.82,344.845,25,0,2,0,3,4,0,0,2,5.3767,0
0,-1,53.27,279.315,21,0,3,0,3,3,0,0,0,3.4085,0
0,0,78.29,293.374,22,0,5,0,5,2,0,0,3,2.92876,0
0,1,430.78,1210.429,87,18,13,16,28,4,2,1,3,-3.0481,0
0,-2,63.19,112.131,5,0,4,0,5,0,0,0,0,-1.0065,0
0,-1,40.13,281.46,20,0,2,0,2,0,0,0,0,4.7738,0
0,0,75.27,226.276,16,2,3,2,5,0,1,0,0,1.185,0
0,1,123.69,407.553,27,6,7,6,9,0,2,4,0,-2.2741,0
0,-1,113.8,349.407,25,2,5,2,7,1,0,0,0,-1.7434,0
0,0,100.9,494.575,35,2,6,2,8,0,3,2,0,3.4407,0
0,-1,93.48,420.46,31,2,5,2,6,3,1,2,1,3.1834,0
0,1,33.9,264.389,19,2,2,2,3,1,1,1,0,1.2175,0
0,1,46.98,372.88,26,1,5,1,7,3,1,0,3,0.9446,0
0,4,90.22,506.828,36,10,4,8,8,1,2,0,0,-4.4708,0
0,0,40.46,268.356,20,2,2,2,2,2,0,0,0,4.8286,0
1,0,109.57,273.248,20,3,5,2,7,1,1,0,0,-0.33,0
0,0,29.46,364.529,27,1,2,1,2,1,3,1,0,5.2284,0
0,1,77.3,240.323,17,5,3,4,4,1,0,2,0,0.2798,0
0,1,38.03,231.106,14,3,2,3,5,1,0,0,0,0.4451,0
0,0,46.15,338.444,24,0,5,0,5,1,0,0,0,3.7177,0
0,1,17.33,279.407,21,1,1,1,2,2,1,0,1,2.50042,0
0,0,150.7,519.687,37,5,5,4,10,0,3,0,0,1.7112,0
0,1,49.59,356.877,25,3,3,3,5,3,0,0,1,3.7621,0
0,0,119.05,225.208,16,4,7,3,8,2,0,1,4,-1.3318,0
0,0,52.32,167.208,12,2,2,1,3,0,1,0,0,1.4178,0
0,0,60.77,409.432,30,2,3,2,6,3,1,1,0,4.8883,0
0,-1,112.6,424.882,28,1,6,1,9,2,0,0,0,2.3898,0
0,0,121.4,603.75,42,1,12,1,12,1,0,0,0,2.8346,0
0,1,71.2,474.602,34,3,5,3,6,4,1,0,0,4.6581,0
1,0,76.5,469.548,36,0,6,0,6,6,0,0,4,5.89378,0
0,0,35.53,391.294,26,0,3,0,5,2,1,0,0,6.1133,0
0,0,58.53,230.676,14,1,3,1,6,1,0,0,0,1.8726,0
0,1,37.14,375.92,26,2,3,2,5,2,1,1,0,1.6388,0
0,1,85.36,290.424,20,5,4,5,5,0,1,4,0,-0.9209,0
0,-1,69.23,162.19,10,1,4,2,5,0,0,0,0,-1.8292,0
0,-1,176.39,717.799,53,2,10,2,12,2,0,0,4,5.27222,0
0,0,67.87,369.368,25,1,4,1,9,3,0,0,3,3.51522,0
0,1,75.47,428.553,31,3,5,3,7,2,1,1,0,0.89094,0
0,0,27.05,381.69,24,0,3,0,6,3,0,0,2,5.8014,0
0,1,10.92,400.637,27,1,4,1,5,2,1,0,0,3.6217,0
0,1,44.9,264.389,19,3,2,3,3,1,1,1,0,1.3155,0
0,0,118.36,380.662,20,4,5,3,12,1,0,0,0,0.821,0
0,-1,128.73,422.464,28,1,9,1,11,1,1,0,1,-0.8593,0
0,0,40.46,296.41,22,2,2,2,2,1,2,1,0,3.6126,0
0,1,112.21,480.541,35,2,7,2,9,2,0,0,0,2.2607,0
0,-1,60.36,331.476,24,1,3,1,3,0,4,1,0,3.2033,0
1,0,66.93,410.808,28,1,5,1,10,2,1,0,1,3.4062,0
0,1,87.25,466.961,32,4,5,3,9,2,1,0,0,1.941,0
0,1,27.64,180.315,13,3,0,1,1,0,4,0,0,1.9773,0
0,0,75.99,332.311,25,2,5,2,5,3,0,0,0,3.6658,0
1,0,72.63,296.326,22,2,3,1,5,2,0,0,0,3.0637,0
0,-2,146.21,396.384,28,1,8,1,10,3,0,0,1,2.9602,0
0,0,72.83,454.966,31,1,5,1,7,0,4,1,0,3.8893,0
0,-2,220.88,721.634,51,3,13,3,17,2,1,2,0,1.1982,0
0,-1,86.3,180.205,11,1,4,1,6,0,0,0,0,-0.9422,0
0,-2,211.96,518.464,36,2,14,2,16,2,1,0,4,-3.7971,0
0,-1,151.09,426.452,28,3,9,2,12,1,1,0,0,-1.2361,0
0,0,18.46,178.38,10,0,2,0,4,0,0,0,0,2.1861,0
0,-1,159.26,516.556,36,2,8,2,13,1,3,0,0,-1.575,0
0,0,103.35,416.518,30,2,5,1,7,1,2,0,0,0.0223,0
0,-4,164.43,268.058,16,1,9,1,11,1,0,1,2,-3.6434,0
0,0,80.67,484.967,33,1,5,1,8,0,3,1,0,4.0511,0
0,1,119.41,582.681,43,4,5,4,10,3,3,1,1,0.5737,0
0,0,0.0,197.381,7,0,0,0,5,0,0,0,0,2.5085,0
0,-2,161.18,208.122,14,4,8,4,8,0,0,4,0,-6.0702,0
0,0,68.1,242.238,18,1,6,1,6,1,0,0,1,-0.3753,0
0,0,26.3,524.874,38,0,2,0,2,0,0,0,0,11.5425,0
0,1,103.46,425.999,27,5,6,5,9,0,2,3,0,-1.0276,0
0,0,35.53,472.754,34,0,3,0,3,1,0,0,0,9.05996,0
1,0,85.99,392.438,29,4,6,3,8,2,1,0,0,0.5534,0
0,-1,70.36,355.439,25,0,5,0,6,2,1,0,1,3.9437,0
0,1,24.67,316.49,22,2,2,2,3,2,0,0,0,2.8486,0
0,0,58.92,198.218,14,2,4,2,4,1,0,2,0,0.4272,0
0,-1,77.51,284.357,19,0,4,0,6,1,0,0,0,0.8608,0
0,-1,113.8,386.222,23,2,5,2,8,1,0,0,0,-2.30244,0
0,0,106.5,309.347,21,2,6,1,8,2,0,0,1,1.61544,0
0,1,75.91,265.362,18,3,5,2,6,2,0,1,3,0.60774,0
0,2,98.4,274.409,19,6,4,4,6,0,0,0,0,-0.3834,0
0,0,67.77,129.159,9,3,2,1,3,0,0,0,0,-1.687,0
0,2,144.9,1029.278,74,0,14,0,16,4,0,0,0,9.029,0
0,0,38.91,166.249,11,2,2,1,3,1,0,0,1,1.2782,0
0,1,70.84,386.52,28,1,5,1,7,1,3,0,2,0.6711,0
0,1,72.37,310.414,22,3,4,2,5,1,0,1,0,1.24866,0
0,0,20.23,144.601,9,1,1,1,2,0,0,1,0,1.5132,0
0,1,86.53,310.414,22,5,4,4,5,1,0,3,0,-0.3914,0
1,0,83.38,167.197,11,4,4,3,6,2,0,0,4,0.59769,0
0,0,46.53,152.149,11,1,3,1,3,1,0,0,0,1.1788,0
0,0,89.79,415.574,30,4,4,4,5,1,1,3,0,3.1469,0
0,2,55.38,652.832,48,0,6,0,8,4,0,0,0,7.4516,0
1,0,41.49,259.349,19,2,3,2,3,2,0,1,0,2.5775,0
0,0,80.67,495.031,34,1,5,1,7,0,3,1,0,4.5951,0
0,2,33.68,328.847,23,3,2,3,5,2,1,0,0,0.3862,0
0,-2,101.96,518.374,33,0,6,0,10,1,2,0,0,4.035,0
0,-2,80.26,186.207,13,0,4,0,4,0,0,0,0,-0.7831,0
0,0,97.23,650.976,23,4,4,2,8,2,0,0,0,1.9012,0
0,0,20.23,206.329,15,1,1,1,1,1,0,0,0,4.106,0
0,0,66.69,388.895,27,1,4,1,6,2,1,0,1,1.4184,0
0,0,103.3,582.816,40,1,10,1,10,0,0,1,0,4.049,0
0,-1,213.35,542.517,39,6,11,4,12,2,1,3,0,-1.9795,0
0,0,52.9,300.745,21,1,3,1,5,2,0,1,0,2.4722,0
0,0,53.43,284.359,21,1,3,1,4,2,0,1,1,2.2062,0
0,0,103.35,438.524,32,2,5,1,7,2,0,0,0,0.2062,0
0,0,63.4,252.273,19,2,2,1,4,2,0,0,0,2.6422,0
1,0,204.66,958.24,68,3,14,3,15,0,3,3,0,6.1972,0
0,0,0.0,290.832,12,0,0,0,6,0,1,0,0,3.6444,0
0,2,60.2,530.794,38,2,4,2,6,0,6,1,0,2.9904,0
0,1,27.64,184.69,12,3,0,1,2,1,0,0,0,1.903,0
1,0,110.6,299.661,19,4,7,3,10,1,1,2,2,-0.8668,0
0,0,20.23,396.659,29,1,1,1,1,0,3,1,0,7.641,0
0,1,37.46,325.407,24,1,2,1,4,2,0,0,0,2.39588,0
0,0,119.03,437.529,31,3,8,2,10,4,0,0,4,3.13904,0
0,2,467.16,1086.269,75,22,14,15,29,2,2,0,0,-8.0407,0
0,0,40.62,356.058,16,0,2,0,6,0,1,0,0,1.2272,0
0,1,64.05,246.121,15,5,3,4,6,1,0,0,0,0.0273,0
0,0,106.35,581.069,40,2,8,2,11,5,0,0,2,6.1391,0
0,0,52.6,242.23,18,0,4,0,4,2,0,0,0,2.6154,0
0,0,72.83,418.574,30,1,5,1,5,0,1,1,0,4.5856,0
0,0,63.4,170.212,12,2,2,1,4,0,1,0,0,-0.1273,0
0,-2,145.44,300.226,22,2,8,2,8,2,0,0,0,0.2402,0
0,-1,110.05,175.116,12,3,6,3,6,0,0,3,0,-2.6051,0
0,0,44.89,238.29,18,2,1,2,3,2,0,0,1,3.12424,0
1,0,124.44,384.245,28,4,6,4,9,2,0,0,2,0.3606,0
0,1,33.54,261.389,19,2,1,2,3,1,0,0,0,1.4286,0
0,0,90.71,256.096,16,4,5,2,7,2,0,0,3,2.0098,0
